4.5612 abcd efgh ijk lmnopqr stu v wxy z 
4.5576 abcd efgh ijk lmnopqr stu vw x yz 
4.55845 abcd efgh ijk lmnopqr stu vw xy z 
4.55849 abcd efgh ijk lmnopqr stu vwx y z 
4.56654 abcd efgh ijk lmnopqr stuv w x yz 
4.56742 abcd efgh ijk lmnopqr stuv w xy z 
4.56705 abcd efgh ijk lmnopqr stuv wx y z 
4.60435 abcd efgh ijk lmnopqr stuvw x y z 
4.6262 abcd efgh ijk lmnopqrs t u v wxyz 
4.62159 abcd efgh ijk lmnopqrs t u vw xyz 
4.62148 abcd efgh ijk lmnopqrs t u vwx yz 
4.62953 abcd efgh ijk lmnopqrs t u vwxy z 
4.62084 abcd efgh ijk lmnopqrs t uv w xyz 
4.62017 abcd efgh ijk lmnopqrs t uv wx yz 
4.6268 abcd efgh ijk lmnopqrs t uv wxy z 
4.62728 abcd efgh ijk lmnopqrs t uvw x yz 
4.62808 abcd efgh ijk lmnopqrs t uvw xy z 
4.62886 abcd efgh ijk lmnopqrs t uvwx y z 
4.62945 abcd efgh ijk lmnopqrs tu v w xyz 
4.62878 abcd efgh ijk lmnopqrs tu v wx yz 
4.63543 abcd efgh ijk lmnopqrs tu v wxy z 
4.63065 abcd efgh ijk lmnopqrs tu vw x yz 
4.63145 abcd efgh ijk lmnopqrs tu vw xy z 
4.63154 abcd efgh ijk lmnopqrs tu vwx y z 
4.63706 abcd efgh ijk lmnopqrs tuv w x yz 
4.63788 abcd efgh ijk lmnopqrs tuv w xy z 
4.63738 abcd efgh ijk lmnopqrs tuv wx y z 
4.67006 abcd efgh ijk lmnopqrs tuvw x y z 
4.87211 abcd efgh ijk lmnopqrst u v w xyz 
4.87124 abcd efgh ijk lmnopqrst u v wx yz 
4.88129 abcd efgh ijk lmnopqrst u v wxy z 
4.87362 abcd efgh ijk lmnopqrst u vw x yz 
4.87513 abcd efgh ijk lmnopqrst u vw xy z 
4.87516 abcd efgh ijk lmnopqrst u vwx y z 
4.87261 abcd efgh ijk lmnopqrst uv w x yz 
4.87412 abcd efgh ijk lmnopqrst uv w xy z 
4.87345 abcd efgh ijk lmnopqrst uv wx y z 
4.88891 abcd efgh ijk lmnopqrst uvw x y z 
5.10373 abcd efgh ijk lmnopqrstu v w x yz 
5.10543 abcd efgh ijk lmnopqrstu v w xy z 
5.10439 abcd efgh ijk lmnopqrstu v wx y z 
5.10735 abcd efgh ijk lmnopqrstu vw x y z 
5.18284 abcd efgh ijk lmnopqrstuv w x y z 
4.54748 abcd efgh ijkl m n o p qrstuvwxyz 
4.54581 abcd efgh ijkl m n o pq rstuvwxyz 
4.49368 abcd efgh ijkl m n o pqr stuvwxyz 
4.45157 abcd efgh ijkl m n o pqrs tuvwxyz 
4.48065 abcd efgh ijkl m n o pqrst uvwxyz 
4.49352 abcd efgh ijkl m n o pqrstu vwxyz 
4.50302 abcd efgh ijkl m n o pqrstuv wxyz 
4.53439 abcd efgh ijkl m n o pqrstuvw xyz 
4.54011 abcd efgh ijkl m n o pqrstuvwx yz 
4.59201 abcd efgh ijkl m n o pqrstuvwxy z 
4.55589 abcd efgh ijkl m n op q rstuvwxyz 
4.49551 abcd efgh ijkl m n op qr stuvwxyz 
4.44509 abcd efgh ijkl m n op qrs tuvwxyz 
4.46372 abcd efgh ijkl m n op qrst uvwxyz 
4.47552 abcd efgh ijkl m n op qrstu vwxyz 
4.48257 abcd efgh ijkl m n op qrstuv wxyz 
4.50831 abcd efgh ijkl m n op qrstuvw xyz 
4.51266 abcd efgh ijkl m n op qrstuvwx yz 
4.55383 abcd efgh ijkl m n op qrstuvwxy z 
4.49563 abcd efgh ijkl m n opq r stuvwxyz 
4.44485 abcd efgh ijkl m n opq rs tuvwxyz 
4.46334 abcd efgh ijkl m n opq rst uvwxyz 
4.47482 abcd efgh ijkl m n opq rstu vwxyz 
4.48182 abcd efgh ijkl m n opq rstuv wxyz 
4.50725 abcd efgh ijkl m n opq rstuvw xyz 
4.51152 abcd efgh ijkl m n opq rstuvwx yz 
4.55246 abcd efgh ijkl m n opq rstuvwxy z 
4.44415 abcd efgh ijkl m n opqr s tuvwxyz 
4.45077 abcd efgh ijkl m n opqr st uvwxyz 
4.45566 abcd efgh ijkl m n opqr stu vwxyz 
4.45977 abcd efgh ijkl m n opqr stuv wxyz 
4.47875 abcd efgh ijkl m n opqr stuvw xyz 
4.48149 abcd efgh ijkl m n opqr stuvwx yz 
4.51163 abcd efgh ijkl m n opqr stuvwxy z 
4.44584 abcd efgh ijkl m n opqrs t uvwxyz 
4.44715 abcd efgh ijkl m n opqrs tu vwxyz 
4.44833 abcd efgh ijkl m n opqrs tuv wxyz 
4.4627 abcd efgh ijkl m n opqrs tuvw xyz 
4.46386 abcd efgh ijkl m n opqrs tuvwx yz 
4.48027 abcd efgh ijkl m n opqrs tuvwxy z 
4.52098 abcd efgh ijkl m n opqrst u vwxyz 
4.51924 abcd efgh ijkl m n opqrst uv wxyz 
4.52082 abcd efgh ijkl m n opqrst uvw xyz 
4.52125 abcd efgh ijkl m n opqrst uvwx yz 
